state,year,pop_state
Alabama,2e3,4452173
Alaska,2e3,627963
Arizona,2e3,5160586
Arkansas,2e3,2678588
California,2e3,33987977
Colorado,2e3,4326921
Connecticut,2e3,3411777
Delaware,2e3,786373
District of Columbia,2e3,572046
Florida,2e3,16047515
Georgia,2e3,8227303
Hawaii,2e3,1213519
Idaho,2e3,1299430
Illinois,2e3,12434161
Indiana,2e3,6091866
Iowa,2e3,2929067
Kansas,2e3,2693681
Kentucky,2e3,4049021
Louisiana,2e3,4471885
Maine,2e3,1277072
Maryland,2e3,5311034
Massachusetts,2e3,6361104
Michigan,2e3,9952450
Minnesota,2e3,4933692
Mississippi,2e3,2848353
Missouri,2e3,5607285
Montana,2e3,903773
Nebraska,2e3,1713820
Nevada,2e3,2018741
New Hampshire,2e3,1239882
New Jersey,2e3,8430621
New Mexico,2e3,1821204
New York,2e3,19001780
North Carolina,2e3,8081614
North Dakota,2e3,642023
Ohio,2e3,11363543
Oklahoma,2e3,3454365
Oregon,2e3,3429708
Pennsylvania,2e3,12284173
Rhode Island,2e3,1050268
South Carolina,2e3,4024223
South Dakota,2e3,755844
Tennessee,2e3,5703719
Texas,2e3,20944499
Utah,2e3,2244502
Vermont,2e3,609618
Virginia,2e3,7105817
Washington,2e3,5910512
West Virginia,2e3,1807021
Wisconsin,2e3,5373999
Wyoming,2e3,494300
Alabama,2001,4467634
Alaska,2001,633714
Arizona,2001,5273477
Arkansas,2001,2691571
California,2001,34479458
Colorado,2001,4425687
Connecticut,2001,3432835
Delaware,2001,795699
District of Columbia,2001,574504
Florida,2001,16356966
Georgia,2001,8377038
Hawaii,2001,1225948
Idaho,2001,1319962
Illinois,2001,12488445
Indiana,2001,6127760
Iowa,2001,2931997
Kansas,2001,2702162
Kentucky,2001,4068132
Louisiana,2001,4477875
Maine,2001,1285692
Maryland,2001,5374691
Massachusetts,2001,6397634
Michigan,2001,9991120
Minnesota,2001,4982796
Mississippi,2001,2852994
Missouri,2001,5641142
Montana,2001,906961
Nebraska,2001,1719836
Nevada,2001,2098399
New Hampshire,2001,1255517
New Jersey,2001,8492671
New Mexico,2001,1831690
New York,2001,19082838
North Carolina,2001,8210122
North Dakota,2001,639062
Ohio,2001,11387404
Oklahoma,2001,3467100
Oregon,2001,3467937
Pennsylvania,2001,12298970
Rhode Island,2001,1057142
South Carolina,2001,4064995
South Dakota,2001,757972
Tennessee,2001,5750789
Texas,2001,21319622
Utah,2001,2283715
Vermont,2001,612223
Virginia,2001,7198362
Washington,2001,5985722
West Virginia,2001,1801481
Wisconsin,2001,5406835
Wyoming,2001,494657
Alabama,2002,4480089
Alaska,2002,642337
Arizona,2002,5396255
Arkansas,2002,2705927
California,2002,34871843
Colorado,2002,4490406
Connecticut,2002,3458749
Delaware,2002,806169
District of Columbia,2002,573158
Florida,2002,16689370
Georgia,2002,8508256
Hawaii,2002,1239613
Idaho,2002,1340372
Illinois,2002,12525556
Indiana,2002,6155967
Iowa,2002,2934234
Kansas,2002,2713535
Kentucky,2002,4089875
Louisiana,2002,4497267
Maine,2002,1295960
Maryland,2002,5440389
Massachusetts,2002,6417206
Michigan,2002,10015710
Minnesota,2002,5018935
Mississippi,2002,2858681
Missouri,2002,5674825
Montana,2002,911667
Nebraska,2002,1728292
Nevada,2002,2173791
New Hampshire,2002,1269089
New Jersey,2002,8552643
New Mexico,2002,1855309
New York,2002,19137800
North Carolina,2002,8326201
North Dakota,2002,638168
Ohio,2002,11407889
Oklahoma,2002,3489080
Oregon,2002,3513424
Pennsylvania,2002,12331031
Rhode Island,2002,1065995
South Carolina,2002,4107795
South Dakota,2002,760020
Tennessee,2002,5795918
Texas,2002,21690325
Utah,2002,2324815
Vermont,2002,615442
Virginia,2002,7286873
Washington,2002,6052349
West Virginia,2002,1805414
Wisconsin,2002,5445162
Wyoming,2002,500017
Alabama,2003,4503491
Alaska,2003,648414
Arizona,2003,5510364
Arkansas,2003,2724816
California,2003,35253159
Colorado,2003,4528732
Connecticut,2003,3484336
Delaware,2003,818003
District of Columbia,2003,568502
Florida,2003,17004085
Georgia,2003,8622793
Hawaii,2003,1251154
Idaho,2003,1363380
Illinois,2003,12556006
Indiana,2003,6196638
Iowa,2003,2941999
Kansas,2003,2723004
Kentucky,2003,4117170
Louisiana,2003,4521042
Maine,2003,1306513
Maryland,2003,5496269
Massachusetts,2003,6422565
Michigan,2003,10041152
Minnesota,2003,5053572
Mississippi,2003,2868312
Missouri,2003,5709403
Montana,2003,919630
Nebraska,2003,1738643
Nevada,2003,2248850
New Hampshire,2003,1279840
New Jersey,2003,8601402
New Mexico,2003,1877574
New York,2003,19175939
North Carolina,2003,8422501
North Dakota,2003,638817
Ohio,2003,11434788
Oklahoma,2003,3504892
Oregon,2003,3547376
Pennsylvania,2003,12374658
Rhode Island,2003,1071342
South Carolina,2003,4150297
South Dakota,2003,763729
Tennessee,2003,5847812
Texas,2003,22030931
Utah,2003,2360137
Vermont,2003,617858
Virginia,2003,7366977
Washington,2003,6104115
West Virginia,2003,1812295
Wisconsin,2003,5479203
Wyoming,2003,503453
Alabama,2004,4530729
Alaska,2004,659286
Arizona,2004,5652404
Arkansas,2004,2749686
California,2004,35574576
Colorado,2004,4575013
Connecticut,2004,3496094
Delaware,2004,830803
District of Columbia,2004,567754
Florida,2004,17415318
Georgia,2004,8769252
Hawaii,2004,1273569
Idaho,2004,1391802
Illinois,2004,12589773
Indiana,2004,6233007
Iowa,2004,2953635
Kansas,2004,2734373
Kentucky,2004,4146101
Louisiana,2004,4552238
Maine,2004,1313688
Maryland,2004,5546935
Massachusetts,2004,6412281
Michigan,2004,10055315
Minnesota,2004,5087713
Mississippi,2004,2889010
Missouri,2004,5747741
Montana,2004,930009
Nebraska,2004,1749370
Nevada,2004,2346222
New Hampshire,2004,1290121
New Jersey,2004,8634561
New Mexico,2004,1903808
New York,2004,19171567
North Carolina,2004,8553152
North Dakota,2004,644705
Ohio,2004,11452251
Oklahoma,2004,3525233
Oregon,2004,3569463
Pennsylvania,2004,12410722
Rhode Island,2004,1074579
South Carolina,2004,4210921
South Dakota,2004,770396
Tennessee,2004,5910809
Texas,2004,22394023
Utah,2004,2401580
Vermont,2004,619920
Virginia,2004,7475575
Washington,2004,6178645
West Virginia,2004,1816438
Wisconsin,2004,5514026
Wyoming,2004,509106
Alabama,2005,4569805
Alaska,2005,666946
Arizona,2005,5839077
Arkansas,2005,2781097
California,2005,35827943
Colorado,2005,4631888
Connecticut,2005,3506956
Delaware,2005,845150
District of Columbia,2005,567136
Florida,2005,17842038
Georgia,2005,8925922
Hawaii,2005,1292729
Idaho,2005,1428241
Illinois,2005,12609903
Indiana,2005,6278616
Iowa,2005,2964454
Kansas,2005,2745299
Kentucky,2005,4182742
Louisiana,2005,4576628
Maine,2005,1318787
Maryland,2005,5592379
Massachusetts,2005,6403290
Michigan,2005,10051137
Minnesota,2005,5119598
Mississippi,2005,2905943
Missouri,2005,5790300
Montana,2005,940102
Nebraska,2005,1761497
Nevada,2005,2432143
New Hampshire,2005,1298492
New Jersey,2005,8651974
New Mexico,2005,1932274
New York,2005,19132610
North Carolina,2005,8705407
North Dakota,2005,646089
Ohio,2005,11463320
Oklahoma,2005,3548597
Oregon,2005,3613202
Pennsylvania,2005,12449990
Rhode Island,2005,1067916
South Carolina,2005,4270150
South Dakota,2005,775493
Tennessee,2005,5991057
Texas,2005,22778123
Utah,2005,2457719
Vermont,2005,621215
Virginia,2005,7577105
Washington,2005,6257305
West Virginia,2005,1820492
Wisconsin,2005,5546166
Wyoming,2005,514157
Alabama,2006,4628981
Alaska,2006,675302
Arizona,2006,6029141
Arkansas,2006,2821761
California,2006,36021202
Colorado,2006,4720423
Connecticut,2006,3517460
Delaware,2006,859268
District of Columbia,2006,570681
Florida,2006,18166990
Georgia,2006,9155813
Hawaii,2006,1309731
Idaho,2006,1468669
Illinois,2006,12643955
Indiana,2006,6332669
Iowa,2006,2982644
Kansas,2006,2762931
Kentucky,2006,4219239
Louisiana,2006,4302665
Maine,2006,1323619
Maryland,2006,5627367
Massachusetts,2006,6410084
Michigan,2006,10036081
Minnesota,2006,5163555
Mississippi,2006,2904978
Missouri,2006,5842704
Montana,2006,952692
Nebraska,2006,1772693
Nevada,2006,2522658
New Hampshire,2006,1308389
New Jersey,2006,8661679
New Mexico,2006,1962137
New York,2006,19104631
North Carolina,2006,8917270
North Dakota,2006,649422
Ohio,2006,11481213
Oklahoma,2006,3594090
Oregon,2006,3670883
Pennsylvania,2006,12510809
Rhode Island,2006,1063096
South Carolina,2006,4357847
South Dakota,2006,783033
Tennessee,2006,6088766
Texas,2006,23359580
Utah,2006,2525507
Vermont,2006,622892
Virginia,2006,7673725
Washington,2006,6370753
West Virginia,2006,1827912
Wisconsin,2006,5577655
Wyoming,2006,522667
Alabama,2007,4672840
Alaska,2007,680300
Arizona,2007,6167681
Arkansas,2007,2848650
California,2007,36250311
Colorado,2007,4803868
Connecticut,2007,3527270
Delaware,2007,871749
District of Columbia,2007,574404
Florida,2007,18367842
Georgia,2007,9349988
Hawaii,2007,1315675
Idaho,2007,1505105
Illinois,2007,12695866
Indiana,2007,6379599
Iowa,2007,2999212
Kansas,2007,2783785
Kentucky,2007,4256672
Louisiana,2007,4375581
Maine,2007,1327040
Maryland,2007,5653408
Massachusetts,2007,6431559
Michigan,2007,10001284
Minnesota,2007,5207203
Mississippi,2007,2928350
Missouri,2007,5887612
Montana,2007,964706
Nebraska,2007,1783440
Nevada,2007,2601072
New Hampshire,2007,1312540
New Jersey,2007,8677885
New Mexico,2007,1990070
New York,2007,19132335
North Carolina,2007,9118037
North Dakota,2007,652822
Ohio,2007,11500468
Oklahoma,2007,3634349
Oregon,2007,3722417
Pennsylvania,2007,12563937
Rhode Island,2007,1057315
South Carolina,2007,4444110
South Dakota,2007,791623
Tennessee,2007,6175727
Texas,2007,23831983
Utah,2007,2597746
Vermont,2007,623481
Virginia,2007,7751e3
Washington,2007,6461587
West Virginia,2007,1834052
Wisconsin,2007,5610775
Wyoming,2007,534876
Alabama,2008,4718206
Alaska,2008,687455
Arizona,2008,6280362
Arkansas,2008,2874554
California,2008,36604337
Colorado,2008,4889730
Connecticut,2008,3545579
Delaware,2008,883874
District of Columbia,2008,580236
Florida,2008,18527305
Georgia,2008,9504843
Hawaii,2008,1332213
Idaho,2008,1534320
Illinois,2008,12747038
Indiana,2008,6424806
Iowa,2008,3016734
Kansas,2008,2808076
Kentucky,2008,4289878
Louisiana,2008,4435586
Maine,2008,1330509
Maryland,2008,5684965
Massachusetts,2008,6468967
Michigan,2008,9946889
Minnesota,2008,5247018
Mississippi,2008,2947806
Missouri,2008,5923916
Montana,2008,976415
Nebraska,2008,1796378
Nevada,2008,2653630
New Hampshire,2008,1315906
New Jersey,2008,8711090
New Mexico,2008,2010662
New York,2008,19212436
North Carolina,2008,9309449
North Dakota,2008,657569
Ohio,2008,11515391
Oklahoma,2008,3668976
Oregon,2008,3768748
Pennsylvania,2008,12612285
Rhode Island,2008,1055003
South Carolina,2008,4528996
South Dakota,2008,799124
Tennessee,2008,6247411
Texas,2008,24309039
Utah,2008,2663029
Vermont,2008,624151
Virginia,2008,7833496
Washington,2008,6562231
West Virginia,2008,1840310
Wisconsin,2008,5640996
Wyoming,2008,546043
Alabama,2009,4757938
Alaska,2009,698895
Arizona,2009,6343154
Arkansas,2009,2896843
California,2009,36961229
Colorado,2009,4972195
Connecticut,2009,3561807
Delaware,2009,891730
District of Columbia,2009,592228
Florida,2009,18652644
Georgia,2009,9620846
Hawaii,2009,1346717
Idaho,2009,1554439
Illinois,2009,12796778
Indiana,2009,6459325
Iowa,2009,3032870
Kansas,2009,2832704
Kentucky,2009,4317074
Louisiana,2009,4491648
Maine,2009,1329590
Maryland,2009,5730388
Massachusetts,2009,6517613
Michigan,2009,9901591
Minnesota,2009,5281203
Mississippi,2009,2958774
Missouri,2009,5961088
Montana,2009,983982
Nebraska,2009,1812683
Nevada,2009,2684665
New Hampshire,2009,1316102
New Jersey,2009,8755602
New Mexico,2009,2036802
New York,2009,19307066
North Carolina,2009,9449566
North Dakota,2009,664968
Ohio,2009,11528896
Oklahoma,2009,3717572
Oregon,2009,3808600
Pennsylvania,2009,12666858
Rhode Island,2009,1053646
South Carolina,2009,4589872
South Dakota,2009,807067
Tennessee,2009,6306019
Texas,2009,24801761
Utah,2009,2723421
Vermont,2009,624817
Virginia,2009,7925937
Washington,2009,6667426
West Virginia,2009,1847775
Wisconsin,2009,5669264
Wyoming,2009,559851
Alabama,2010,4785448
Alaska,2010,713906
Arizona,2010,6407774
Arkansas,2010,2921978
California,2010,37320903
Colorado,2010,5048281
Connecticut,2010,3579125
Delaware,2010,899595
District of Columbia,2010,605085
Florida,2010,18845785
Georgia,2010,9711810
Hawaii,2010,1363963
Idaho,2010,1570773
Illinois,2010,12840762
Indiana,2010,6490436
Iowa,2010,3050767
Kansas,2010,2858213
Kentucky,2010,4348200
Louisiana,2010,4544532
Maine,2010,1327632
Maryland,2010,5788642
Massachusetts,2010,6566431
Michigan,2010,9877535
Minnesota,2010,5310843
Mississippi,2010,2970536
Missouri,2010,5995976
Montana,2010,990722
Nebraska,2010,1829536
Nevada,2010,2702464
New Hampshire,2010,1316777
New Jersey,2010,8799624
New Mexico,2010,2064588
New York,2010,19400080
North Carolina,2010,9574293
North Dakota,2010,674710
Ohio,2010,11539327
Oklahoma,2010,3759632
Oregon,2010,3837532
Pennsylvania,2010,12711158
Rhode Island,2010,1053938
South Carolina,2010,4635656
South Dakota,2010,816165
Tennessee,2010,6355301
Texas,2010,25242679
Utah,2010,2775334
Vermont,2010,625880
Virginia,2010,8023680
Washington,2010,6742902
West Virginia,2010,1854214
Wisconsin,2010,5690479
Wyoming,2010,564483
Alabama,2011,4798834
Alaska,2011,722038
Arizona,2011,6473497
Arkansas,2011,2940407
California,2011,37641823
Colorado,2011,5121771
Connecticut,2011,3588023
Delaware,2011,907316
District of Columbia,2011,619602
Florida,2011,19093352
Georgia,2011,9801578
Hawaii,2011,1379252
Idaho,2011,1583828
Illinois,2011,12867291
Indiana,2011,6516045
Iowa,2011,3066054
Kansas,2011,2869035
Kentucky,2011,4369488
Louisiana,2011,4575184
Maine,2011,1328150
Maryland,2011,5838991
Massachusetts,2011,6613149
Michigan,2011,9881521
Minnesota,2011,5345668
Mississippi,2011,2978470
Missouri,2011,6009641
Montana,2011,997221
Nebraska,2011,1840538
Nevada,2011,2712799
New Hampshire,2011,1319815
New Jersey,2011,8827783
New Mexico,2011,2080395
New York,2011,19498514
North Carolina,2011,9656754
North Dakota,2011,685136
Ohio,2011,11543463
Oklahoma,2011,3787821
Oregon,2011,3871728
Pennsylvania,2011,12744583
Rhode Island,2011,1053536
South Carolina,2011,4671422
South Dakota,2011,823484
Tennessee,2011,6397410
Texas,2011,25646227
Utah,2011,2814216
Vermont,2011,626979
Virginia,2011,8100469
Washington,2011,6821655
West Virginia,2011,1856074
Wisconsin,2011,5704755
Wyoming,2011,567224
Alabama,2012,4815564
Alaska,2012,730399
Arizona,2012,6556629
Arkansas,2012,2952109
California,2012,37960782
Colorado,2012,5193721
Connecticut,2012,3594395
Delaware,2012,915188
District of Columbia,2012,634725
Florida,2012,19326230
Georgia,2012,9901496
Hawaii,2012,1394905
Idaho,2012,1595441
Illinois,2012,12884119
Indiana,2012,6537640
Iowa,2012,3076097
Kansas,2012,2885361
Kentucky,2012,4386381
Louisiana,2012,4600814
Maine,2012,1327691
Maryland,2012,5887072
Massachusetts,2012,6663158
Michigan,2012,9896930
Minnesota,2012,5376550
Mississippi,2012,2983767
Missouri,2012,6024081
Montana,2012,1003754
Nebraska,2012,1853323
Nevada,2012,2744566
New Hampshire,2012,1323962
New Jersey,2012,8845483
New Mexico,2012,2087549
New York,2012,19574549
North Carolina,2012,9749123
North Dakota,2012,701116
Ohio,2012,11548369
Oklahoma,2012,3818600
Oregon,2012,3899118
Pennsylvania,2012,12766827
Rhode Island,2012,1054601
South Carolina,2012,4717112
South Dakota,2012,833496
Tennessee,2012,6451281
Texas,2012,26089620
Utah,2012,2853467
Vermont,2012,626063
Virginia,2012,8185229
Washington,2012,6892876
West Virginia,2012,1856764
Wisconsin,2012,5719855
Wyoming,2012,576270
Alabama,2013,4830460
Alaska,2013,737045
Arizona,2013,6634999
Arkansas,2013,2959549
California,2013,38280824
Colorado,2013,5270482
Connecticut,2013,3594915
Delaware,2013,923638
District of Columbia,2013,650431
Florida,2013,19563166
Georgia,2013,9973326
Hawaii,2013,1408453
Idaho,2013,1611530
Illinois,2013,12898269
Indiana,2013,6568367
Iowa,2013,3093078
Kansas,2013,2893510
Kentucky,2013,4404817
Louisiana,2013,4624577
Maine,2013,1328196
Maryland,2013,5923704
Massachusetts,2013,6713944
Michigan,2013,9913349
Minnesota,2013,5413693
Mississippi,2013,2988797
Missouri,2013,6040658
Montana,2013,1013564
Nebraska,2013,1865414
Nevada,2013,2776972
New Hampshire,2013,1326408
New Jersey,2013,8858362
New Mexico,2013,2092792
New York,2013,19628043
North Carolina,2013,9843599
North Dakota,2013,721999
Ohio,2013,11576576
Oklahoma,2013,3853205
Oregon,2013,3922908
Pennsylvania,2013,12776621
Rhode Island,2013,1055122
South Carolina,2013,4764153
South Dakota,2013,842270
Tennessee,2013,6493432
Texas,2013,26489464
Utah,2013,2897927
Vermont,2013,626212
Virginia,2013,8253053
Washington,2013,6962906
West Virginia,2013,1853873
Wisconsin,2013,5736952
Wyoming,2013,582123
Alabama,2014,4842481
Alaska,2014,736307
Arizona,2014,6733840
Arkansas,2014,2967726
California,2014,38625139
Colorado,2014,5351218
Connecticut,2014,3594783
Delaware,2014,932596
District of Columbia,2014,662513
Florida,2014,19860330
Georgia,2014,10069001
Hawaii,2014,1414862
Idaho,2014,1631479
Illinois,2014,12888962
Indiana,2014,6593533
Iowa,2014,3109504
Kansas,2014,2900896
Kentucky,2014,4414483
Louisiana,2014,4644204
Maine,2014,1330760
Maryland,2014,5958165
Massachusetts,2014,6763652
Michigan,2014,9930589
Minnesota,2014,5451522
Mississippi,2014,2990623
Missouri,2014,6056293
Montana,2014,1021891
Nebraska,2014,1879522
Nevada,2014,2819012
New Hampshire,2014,1333223
New Jersey,2014,8866780
New Mexico,2014,2090342
New York,2014,19656330
North Carolina,2014,9933944
North Dakota,2014,737382
Ohio,2014,11602973
Oklahoma,2014,3878367
Oregon,2014,3964106
Pennsylvania,2014,12789101
Rhode Island,2014,1056017
South Carolina,2014,4823793
South Dakota,2014,849088
Tennessee,2014,6540826
Texas,2014,26977142
Utah,2014,2937399
Vermont,2014,625218
Virginia,2014,8312076
Washington,2014,7052439
West Virginia,2014,1849467
Wisconsin,2014,5751974
Wyoming,2014,582548
Alabama,2015,4853160
Alaska,2015,737547
Arizona,2015,6833596
Arkansas,2015,2978407
California,2015,38953142
Colorado,2015,5452107
Connecticut,2015,3587509
Delaware,2015,941413
District of Columbia,2015,675254
Florida,2015,20224249
Georgia,2015,10181111
Hawaii,2015,1422484
Idaho,2015,1651523
Illinois,2015,12864342
Indiana,2015,6608296
Iowa,2015,3121460
Kansas,2015,2909502
Kentucky,2015,4425999
Louisiana,2015,4664851
Maine,2015,1328484
Maryland,2015,5986717
Massachusetts,2015,6795891
Michigan,2015,9932573
Minnesota,2015,5482503
Mississippi,2015,2988693
Missouri,2015,6071745
Montana,2015,1030503
Nebraska,2015,1891507
Nevada,2015,2868666
New Hampshire,2015,1336294
New Jersey,2015,8870869
New Mexico,2015,2090211
New York,2015,19661411
North Carolina,2015,10033079
North Dakota,2015,754022
Ohio,2015,11617850
Oklahoma,2015,3909831
Oregon,2015,4016918
Pennsylvania,2015,12785759
Rhode Island,2015,1056173
South Carolina,2015,4892253
South Dakota,2015,853933
Tennessee,2015,6590808
Texas,2015,27486814
Utah,2015,2982497
Vermont,2015,625197
Virginia,2015,8362907
Washington,2015,7163543
West Virginia,2015,1841996
Wisconsin,2015,5761406
Wyoming,2015,585668
Alabama,2016,4864745
Alaska,2016,741504
Arizona,2016,6945452
Arkansas,2016,2990410
California,2016,39209127
Colorado,2016,5540921
Connecticut,2016,3578674
Delaware,2016,949216
District of Columbia,2016,686575
Florida,2016,20629982
Georgia,2016,10304763
Hawaii,2016,1428105
Idaho,2016,1682930
Illinois,2016,12826895
Indiana,2016,6633344
Iowa,2016,3131785
Kansas,2016,2911263
Kentucky,2016,4438229
Louisiana,2016,4678215
Maine,2016,1331370
Maryland,2016,6004692
Massachusetts,2016,6826022
Michigan,2016,9951890
Minnesota,2016,5523409
Mississippi,2016,2988298
Missouri,2016,6087203
Montana,2016,1040863
Nebraska,2016,1905924
Nevada,2016,2919772
New Hampshire,2016,1342373
New Jersey,2016,8874516
New Mexico,2016,2092789
New York,2016,19641589
North Carolina,2016,10156679
North Dakota,2016,754353
Ohio,2016,11635003
Oklahoma,2016,3926769
Oregon,2016,4091404
Pennsylvania,2016,12783538
Rhode Island,2016,1057063
South Carolina,2016,4958235
South Dakota,2016,862890
Tennessee,2016,6645011
Texas,2016,27937492
Utah,2016,3042613
Vermont,2016,623644
Virginia,2016,8410946
Washington,2016,7294680
West Virginia,2016,1830929
Wisconsin,2016,5772958
Wyoming,2016,584290
Alabama,2017,4875120
Alaska,2017,739786
Arizona,2017,7048876
Arkansas,2017,3002997
California,2017,39399349
Colorado,2017,5615902
Connecticut,2017,3573880
Delaware,2017,957078
District of Columbia,2017,695691
Florida,2017,20976812
Georgia,2017,10413055
Hawaii,2017,1424203
Idaho,2017,1718904
Illinois,2017,12786196
Indiana,2017,6660082
Iowa,2017,3143637
Kansas,2017,2910689
Kentucky,2017,4453874
Louisiana,2017,4670818
Maine,2017,1335063
Maryland,2017,6024891
Massachusetts,2017,6863246
Michigan,2017,9976447
Minnesota,2017,5568155
Mississippi,2017,2989663
Missouri,2017,6108612
Montana,2017,1053090
Nebraska,2017,1917575
Nevada,2017,2972405
New Hampshire,2017,1349767
New Jersey,2017,8888543
New Mexico,2017,2093395
New York,2017,19590719
North Carolina,2017,10270800
North Dakota,2017,755176
Ohio,2017,11664129
Oklahoma,2017,3932640
Oregon,2017,4146592
Pennsylvania,2017,12790447
Rhode Island,2017,1056486
South Carolina,2017,5021219
South Dakota,2017,873286
Tennessee,2017,6708794
Texas,2017,28322717
Utah,2017,3103118
Vermont,2017,624525
Virginia,2017,8465207
Washington,2017,7425432
West Virginia,2017,1817048
Wisconsin,2017,5792051
Wyoming,2017,578934
Alabama,2018,4887871
Alaska,2018,737438
Arizona,2018,7171646
Arkansas,2018,3013825
California,2018,39557045
Colorado,2018,5695564
Connecticut,2018,3572665
Delaware,2018,967171
District of Columbia,2018,702455
Florida,2018,21299325
Georgia,2018,10519475
Hawaii,2018,1420491
Idaho,2018,1754208
Illinois,2018,12741080
Indiana,2018,6691878
Iowa,2018,3156145
Kansas,2018,2911505
Kentucky,2018,4468402
Louisiana,2018,4659978
Maine,2018,1338404
Maryland,2018,6042718
Massachusetts,2018,6902149
Michigan,2018,9995915
Minnesota,2018,5611179
Mississippi,2018,2986530
Missouri,2018,6126452
Montana,2018,1062305
Nebraska,2018,1929268
Nevada,2018,3034392
New Hampshire,2018,1356458
New Jersey,2018,8908520
New Mexico,2018,2095428
New York,2018,19542209
North Carolina,2018,10383620
North Dakota,2018,760077
Ohio,2018,11689442
Oklahoma,2018,3943079
Oregon,2018,4190713
Pennsylvania,2018,12807060
Rhode Island,2018,1057315
South Carolina,2018,5084127
South Dakota,2018,882235
Tennessee,2018,6770010
Texas,2018,28701845
Utah,2018,3161105
Vermont,2018,626299
Virginia,2018,8517685
Washington,2018,7535591
West Virginia,2018,1805832
Wisconsin,2018,5813568
Wyoming,2018,577737
Alabama,2019,4900622
Alaska,2019,735090
Arizona,2019,7294416
Arkansas,2019,3024653
California,2019,39714741
Colorado,2019,5775226
Connecticut,2019,3571450
Delaware,2019,977264
District of Columbia,2019,709219
Florida,2019,21621838
Georgia,2019,10625895
Hawaii,2019,1416779
Idaho,2019,1789512
Illinois,2019,12695964
Indiana,2019,6723674
Iowa,2019,3168653
Kansas,2019,2912321
Kentucky,2019,4482930
Louisiana,2019,4649138
Maine,2019,1341745
Maryland,2019,6060545
Massachusetts,2019,6941052
Michigan,2019,10015383
Minnesota,2019,5654203
Mississippi,2019,2983397
Missouri,2019,6144292
Montana,2019,1071520
Nebraska,2019,1940961
Nevada,2019,3096379
New Hampshire,2019,1363149
New Jersey,2019,8928497
New Mexico,2019,2097461
New York,2019,19493699
North Carolina,2019,10496440
North Dakota,2019,764978
Ohio,2019,11714755
Oklahoma,2019,3953518
Oregon,2019,4234834
Pennsylvania,2019,12823673
Rhode Island,2019,1058144
South Carolina,2019,5147035
South Dakota,2019,891184
Tennessee,2019,6831226
Texas,2019,29080973
Utah,2019,3219092
Vermont,2019,628073
Virginia,2019,8570163
Washington,2019,7645750
West Virginia,2019,1794616
Wisconsin,2019,5835085
Wyoming,2019,576540
